transactionID,userID,agentID,senderAcc,receiverAcc,amount,paymentMethod,transactionDate
1,865-16-9392,1001,5944115475,2266675605,$1630920.21,Credit/Debit Card,10/27/2022
2,139-54-8369,1002,2557531120,8576033858,$2256498.47,Cheque,5/23/2022
3,624-44-8693,1003,2807934550,4206037941,$2116099.33,Cheque,6/26/2022
4,704-68-0490,1004,2568581423,7650212149,$2437050.60,Cheque,5/20/2022
5,334-03-0836,1005,9142931695,2711469705,$1972493.41,Online Bank Transfer,01-12-2022
6,835-74-6455,1006,1995647791,1204009850,$149117.43,Credit/Debit Card,02-04-2022
7,834-76-9671,1007,5682340109,6770499648,$98038.90,Cheque,11/30/2021
8,614-48-9685,1008,7812045366,3994034382,$415744.71,Online Bank Transfer,12/30/2021
9,350-62-6951,1009,2491062180,1429143763,$678219.39,Credit/Debit Card,12/14/2021
10,771-91-7568,1010,1677859099,9402354991,$1500889.72,Online Bank Transfer,11/26/2022
11,150-06-1325,1011,1446043692,6903082017,$171654.73,Cheque,04-02-2022
12,897-07-7913,1012,5687145485,8230867607,$1044646.38,Online Bank Transfer,8/23/2022
13,783-63-0194,1013,5332377068,6773100097,$2772432.74,Credit/Debit Card,02-07-2022
14,841-03-7109,1014,7671494483,8120426401,$1714373.19,Cheque,12-08-2021
15,334-61-1076,1008,6498231897,9214577411,$2435716.76,Credit/Debit Card,7/20/2022
16,350-56-4860,1009,5198831548,2426347151,$1374949.03,Online Bank Transfer,11/24/2022
17,764-23-2608,1010,8096840757,1048203545,$2082797.69,Credit/Debit Card,5/15/2022
18,418-30-4317,1011,3371748611,7864973386,$605044.99,Online Bank Transfer,8/17/2022
19,281-72-6363,1012,7524661309,1033489061,$87469.98,Cheque,10/28/2022
20,633-23-2715,1013,7053837298,1591402621,$2165857.40,Online Bank Transfer,08-05-2022
21,423-60-0972,1014,7747128500,200535690,$1207010.07,Online Bank Transfer,06-07-2022
22,187-13-3211,1001,7886865648,5240820236,$1591977.96,Online Bank Transfer,03-12-2022
23,341-41-9580,1002,5135426045,1171178007,$2463311.09,Credit/Debit Card,11/18/2022
24,815-99-0271,1003,1030737783,5636916699,$1463113.41,Credit/Debit Card,5/31/2022
25,519-76-0696,1004,2037363249,8531396160,$2181433.94,Credit/Debit Card,12-10-2021
26,586-12-6663,1006,9442606520,1576294746,$1197686.55,Online Bank Transfer,9/24/2022
27,551-64-6365,1007,4295512956,6063290111,$1335598.76,Credit/Debit Card,12/19/2021
28,293-11-6353,1008,7236471472,558092794,$279272.39,Online Bank Transfer,02-02-2022
29,886-39-6778,1009,5378539902,761704243,$329738.69,Credit/Debit Card,11-08-2022
30,566-13-6687,1010,5236255042,5377315009,$370542.34,Cheque,5/29/2022
31,736-15-3642,1011,2635009342,3504669352,$1023317.59,Cheque,8/25/2022
32,872-60-9397,1012,5238460782,6776294979,$2226289.58,Cheque,10/13/2022
33,499-36-8432,1013,2587789842,1395724757,$307032.63,Online Bank Transfer,09-08-2022
34,580-08-4362,1014,7810655100,3082612545,$2354145.67,Online Bank Transfer,11-01-2022
35,577-56-6135,1007,9177267963,8671820017,$1528440.35,Online Bank Transfer,9/24/2022
36,177-10-1755,1008,1540037692,7339692673,$2843283.61,Credit/Debit Card,4/14/2022
37,401-88-9744,1009,2042630502,7597346974,$1315817.83,Cheque,4/20/2022
38,769-02-8612,1010,6476365907,875224571,$1427198.71,Cheque,12-04-2021
39,791-02-5013,1011,9126222905,5630097237,$2243447.84,Credit/Debit Card,11/16/2022
40,247-59-3402,1012,1560410741,7170552695,$2856006.31,Online Bank Transfer,08-09-2022
41,879-17-2781,1001,435587661,6252722469,$2113306.24,Online Bank Transfer,6/24/2022
42,729-08-1821,1002,4515706825,3470789209,$207835.62,Credit/Debit Card,5/30/2022
43,806-83-2548,1003,1452929962,7243104118,$2332113.45,Credit/Debit Card,07-01-2022
44,119-63-9318,1004,6762666353,1241766516,$1250484.28,Credit/Debit Card,12/25/2021
45,837-60-3752,1005,835917428,5633891590,$1210460.01,Online Bank Transfer,10/24/2022
46,451-72-7469,1013,3009619291,6597540824,$2311171.61,Cheque,10/27/2022
47,519-29-9539,1001,6550817744,3497778615,$1846250.99,Credit/Debit Card,12-10-2021
48,519-91-9541,1002,8450297841,4953131853,$448792.08,Online Bank Transfer,04-01-2022
49,631-97-4805,1003,8763581445,3175002704,$2013265.01,Credit/Debit Card,1/17/2022
50,124-91-4439,1004,6540002409,8787736107,$1835163.75,Credit/Debit Card,01-11-2022
51,509-86-5737,1005,380063574,9979671898,$1968168.91,Credit/Debit Card,01-11-2022
52,212-56-5846,1006,2865501970,2433916579,$1904949.14,Cheque,12/13/2021
53,681-06-0266,1007,3928347337,7308338509,$233072.94,Cheque,5/24/2022
54,762-74-1861,1008,5569287296,6820952847,$1013162.21,Cheque,11-10-2022
55,400-99-6855,1009,3267678266,6055521416,$2831625.66,Online Bank Transfer,7/22/2022
